25230.63,40433.05,25002.21,29685.34,0.00
25027.85,40361.03,24933.30,29702.38,0.00
24953.06,40623.42,24916.08,29754.83,0.00
24803.21,41445.19,24666.37,30150.97,0.00
25885.60,39186.87,24969.38,30150.93,0.00
25609.95,39555.91,24860.63,30135.46,0.00
25584.45,39862.53,24993.63,30161.05,0.00
25659.48,39494.69,25173.33,29994.00,0.00
25830.38,39065.32,25226.79,29896.87,0.00
25621.05,39623.82,25187.90,29890.40,0.00
25335.89,40659.14,25061.10,29945.57,0.00
27323.68,35742.05,30674.25,24566.59,0.00
27178.29,35944.19,30157.85,25019.72,0.00
27065.41,35996.28,30095.06,25068.29,0.00
26925.18,36210.46,29989.56,25265.33,0.00
26749.31,36360.40,29804.05,25372.34,0.00
26811.29,36440.09,29875.87,25324.30,0.00
26804.23,36343.66,29870.78,25261.18,0.00
26703.83,36452.38,29888.77,25394.35,0.00
26672.35,36626.95,29774.43,25462.98,0.00
26698.76,36726.37,29808.80,25424.05,0.00
36102.09,28179.29,50029.34,18301.51,0.00
35227.18,28383.01,47861.51,18823.96,0.00
34672.50,29196.22,46070.78,19107.54,0.00
34568.99,29132.22,46478.45,19123.02,0.00
34712.02,29380.22,46165.38,19284.30,0.00
34574.87,29158.14,46547.65,19190.00,0.00
34593.12,28507.88,47702.77,18795.60,0.00
34393.86,28701.51,46679.04,19019.74,0.00
37000.13,27247.68,52317.87,17998.10,0.00
37021.06,26748.51,56523.92,17337.13,0.00
36565.96,27046.75,55487.10,17639.00,0.00
26668.45,37541.76,31139.09,24515.58,0.00
26357.84,38000.74,30634.07,24822.61,0.00
26101.30,38020.69,30315.37,25087.72,0.00
25976.41,38245.05,30206.42,25173.70,0.00
25912.50,38722.94,29866.20,25394.01,0.00
25844.33,38544.42,29812.22,25554.15,0.00
25934.46,38417.03,29807.27,25563.06,0.00
25887.70,38534.22,29787.16,25561.51,0.00
25838.30,38522.66,29241.19,26023.14,0.00
25849.50,38822.31,29254.90,26054.42,0.00
25575.07,39175.44,29158.86,26050.35,0.00
25875.67,40104.75,28828.11,26370.89,0.00
24978.51,41175.30,28160.19,26995.02,0.00
25415.86,39973.07,28549.77,26615.15,0.00
27004.26,36428.89,31148.15,24575.90,0.00
26502.94,36876.36,31063.95,24805.44,0.00
26100.80,37816.33,31032.84,25003.25,0.00
25993.64,38555.96,30454.72,25397.71,0.00
25753.22,38560.17,30039.17,25643.73,0.00
25809.98,38432.60,29915.94,25736.39,0.00
25674.79,38613.17,29836.55,25764.98,0.00
25842.31,38470.48,29870.28,25772.60,0.00
24716.15,41075.91,27670.95,27239.54,0.00
24446.41,41788.65,27365.12,27655.89,0.00
24458.94,41179.79,27431.78,27604.82,0.00
24448.46,41135.67,27407.75,27679.40,0.00
24459.18,41230.44,27431.74,27791.50,0.00
24429.07,41254.59,27332.33,27782.95,0.00
24428.14,41294.92,27327.02,27854.07,0.00
24459.35,41340.04,27359.17,27826.14,0.00
24470.92,41246.52,27461.61,27839.51,0.00
24487.37,41211.46,27474.85,27804.11,0.00
24498.29,41220.42,27455.12,27759.60,0.00
29781.00,32320.20,35665.67,22140.62,0.00
29687.80,32430.88,35521.92,22334.44,0.00
29554.22,32891.22,34710.75,22610.10,0.00
28855.08,33165.65,33761.72,23071.89,0.00
27475.14,34467.99,32011.32,23934.64,0.00
27475.92,34502.81,31822.19,24029.58,0.00
27361.62,34624.51,31785.81,24051.11,0.00
27208.22,34712.51,31679.56,24173.40,0.00
27302.95,34869.41,31651.59,24226.65,0.00
27258.72,34998.30,31524.98,24244.68,0.00
27217.94,35106.68,31550.19,24392.01,0.00
25667.70,39682.45,31093.86,24848.27,0.00
25337.91,40450.55,30679.52,25298.32,0.00
25286.81,40504.26,30460.28,25463.62,0.00
25312.65,40547.20,30420.03,25590.47,0.00
