"25667.699","39682.453","31093.856","24848.267","0"
"25337.907","40450.551","30679.516","25298.323","0"
"25286.812","40504.255","30460.275","25463.621","0"
"25312.648","40547.199","30420.03","25590.47","0"
"25315.579","40850.313","30109.821","25807.282","0"
"24444.539","41132.115","28362.499","26605.529","0"
"24484.807","41566.784","28508.678","26660.586","0"
"24923.911","41278.598","28973.855","26583.027","0"
"24994.504","41231.378","29252.541","26523.43","0"
"24965.03","41170.031","29265.408","26431.133","0"
"24996.268","41183.677","29350.993","26385.53","0"
